"Trait","PC1_Original","PC2_Original","PC3_Original","PC4_Original","PC1_Mean","PC2_Mean","PC3_Mean","PC4_Mean","PC1_Boot1x","PC2_Boot1x","PC3_Boot1x","PC4_Boot1x","PC1_Boot2x","PC2_Boot2x","PC3_Boot2x","PC4_Boot2x"
"ph",0.5692,-0.0673,-0.0309,-0.0342,0.5795,-0.0536,-0.0235,-0.0081,0.5691,-0.0678,-0.032,-0.0346,0.5684,-0.0676,-0.0315,-0.0348
"ssd",0.5023,-0.2528,-0.0848,-0.1155,0.5109,-0.25,-0.0866,-0.0769,0.5029,-0.2506,-0.0863,-0.1157,0.5033,-0.2501,-0.085,-0.1175
"sm",0.5209,0.0247,0.1598,-0.0104,0.5117,0.0471,0.165,-0.0191,0.5201,0.0239,0.1619,-0.0092,0.5207,0.0258,0.1614,-0.0079
"la",0.3707,0.3872,0.0691,0.0045,0.3515,0.4257,0.0795,-0.0012,0.371,0.3857,0.0677,0.0072,0.3705,0.3871,0.0701,0.0034
"ln",-0.063,0.6081,0.0265,0.1456,-0.0632,0.6006,0.0162,0.1122,-0.0639,0.6078,0.0263,0.1471,-0.063,0.6078,0.0259,0.1466
"sla",-0.0747,0.6097,-0.1077,0.0735,-0.095,0.6152,-0.1056,0.0648,-0.0738,0.6105,-0.1077,0.0731,-0.0744,0.6109,-0.108,0.0724
"SRL",-0.0428,0.0175,-0.7009,0.1641,-0.0549,0.0261,-0.7002,0.1596,-0.0439,0.0167,-0.7005,0.1673,-0.0433,0.0172,-0.7006,0.1633
"D",0.0124,-0.0322,0.6726,0.231,0.003,-0.0233,0.6751,0.2372,0.0102,-0.0335,0.6723,0.2339,0.0117,-0.0332,0.6725,0.2291
"RTD",0.0568,0.0076,0.0326,-0.7666,0.0409,-0.0037,-1e-04,-0.7739,0.0591,0.0071,0.0338,-0.7707,0.0608,0.0083,0.0318,-0.7654
"N",-0.0076,0.1953,0.0672,0.5392,-0.0022,0.1036,0.0311,0.5442,-0.0044,0.1994,0.0681,0.5307,-0.004,0.1959,0.0662,0.5414
